"lat","lon"
"31.334","121.5051"
"23.0031","120.1608"
"23.003","120.1608"
"31.1912","121.4882"
"31.1902","121.4873"
"31.1912","121.4881"
"31.1903","121.4871"
"31.1902","121.4873"
"31.1903","121.4873"
"31.1903","121.4873"
"31.19","121.4869"
"31.19","121.4869"
"31.19","121.4869"
"31.19","121.4868"
"31.3338","121.5051"
"31.3036","121.5152"
"31.305","121.5152"
"31.3022","121.5116"
"31.3363","121.5098"
"31.3363","121.5099"
"31.2245","121.4521"
"31.2245","121.4521"
"31.1462","121.5062"
"31.1462","121.5062"
"31.1462","121.5062"
"31.2205","121.4433"
"31.2205","121.4433"
"31.4013","121.4882"
"31.3265","121.4433"
"40.9394","115.4329"
"40.9439","115.4316"
"40.9439","115.4335"
"40.9439","115.4335"
"40.9439","115.4304"
"40.9439","115.43"
"40.9464","115.4293"
"40.9464","115.4292"
"40.9427","115.4292"
"40.9461","115.4302"
"40.9458","115.4295"
"40.9378","115.4306"
"40.9549","115.4263"
"40.9568","115.4187"
"40.9568","115.4186"
"22.368","120.5954"
"40.9568","115.4187"
"40.9471","115.4311"
"40.947","115.4303"
"40.947","115.4302"
"40.9471","115.4302"
"40.947","115.4301"
"40.9503","115.4029"
"40.9439","115.4336"
"40.9439","115.4336"
"40.9439","115.4336"
"40.9439","115.4336"
"40.9439","115.4336"
"40.9439","115.4336"
"40.9439","115.4336"
"40.947","115.4275"
"22.3662","120.596"
"40.9439","115.4336"
"40.9452","115.4322"
"39.9418","116.3995"
"39.9383","116.3989"
"39.9464","116.4053"
"39.9465","116.4053"
"39.9428","116.3993"
"39.9428","116.3993"
"39.9396","116.3962"
"39.9434","116.3948"
"39.9393","116.3961"
"39.9394","116.396"
"39.9394","116.396"
"39.9434","116.3948"
"39.9074","116.3949"
"39.9072","116.3969"
"39.9369","116.3866"
"39.9369","116.3866"
"22.3791","120.9118"
"39.9344","116.3855"
"39.9344","116.3855"
"39.9344","116.3855"
"39.9973","116.449"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3339","121.5052"
"31.3007","121.515"
"31.3007","121.515"
"31.3007","121.5148"
"31.3007","121.5149"
"31.3006","121.5148"
"31.3007","121.5149"
"31.3007","121.5146"
"22.7587","121.1727"
"31.3007","121.5149"
"31.2899","121.4998"
"31.2028","121.4783"
"31.2027","121.4783"
"31.3314","121.5023"
"22.7544","121.1495"
"31.3189","121.5045"
"31.3339","121.5052"
"31.2904","121.5152"
"31.2904","121.5152"
"22.755","121.1488"
"31.3218","121.506"
"31.3315","121.5029"
"22.0193","121.5618"
"31.2003","121.4792"
"31.2003","121.4792"
"31.2003","121.4792"
"31.2003","121.4792"
"22.0193","121.5617"
"31.2027","121.4784"
"31.334","121.5053"
"31.2417","121.4087"
"31.2054","121.4775"
"31.2234","121.6116"
"31.2799","121.5213"
"31.2933","121.5161"
"31.2934","121.5163"
"31.2934","121.5163"
"31.2934","121.5163"
"31.2934","121.5163"
"31.2934","121.5163"
"24.952","104.3947"
"31.1462","121.5062"
"31.3116","121.5064"
"31.3085","121.5063"
"31.3085","121.5063"
"31.3085","121.5063"
"31.3085","121.5063"
"31.2995","121.5152"
"31.334","121.5052"
"31.334","121.5052"
"31.334","121.5052"
"31.3337","121.505"
"31.3339","121.5051"
"31.2944","121.516"
"31.2946","121.5159"
"31.2946","121.5159"
"31.3339","121.5051"
"31.3339","121.5051"
"31.2834","121.5075"
"31.2834","121.5074"
"31.2834","121.5074"
"30.2278","120.0406"
"30.2277","120.0414"
"30.2277","120.0419"
"30.2271","120.0417"
"30.2271","120.0417"
"30.2277","120.0417"
"30.2277","120.0417"
"30.2277","120.0415"
"30.2274","120.0411"
"30.2269","120.042"
"30.2268","120.042"
"30.2272","120.0416"
"30.2275","120.0413"
"30.2275","120.0414"
"30.2275","120.0414"
"30.2275","120.0414"
"30.2274","120.0408"
"30.2273","120.0409"
"30.2264","120.0414"
"30.2263","120.0414"
"30.2271","120.0409"
"24.9178","102.4654"
"24.9182","102.4656"
"24.9178","102.4625"
"31.3391","121.5096"
"24.9174","102.4657"
"24.9181","102.4659"
"24.9179","102.462"
"24.9184","102.4654"
"24.9182","102.4654"
"25.0272","102.7124"
"25.0266","102.7124"
"25.026","102.7314"
"26.0806","119.2945"
"31.0411","121.2363"
"31.0266","121.2521"
"31.0259","121.2507"
"31.0267","121.2522"
"31.0268","121.2522"
"31.0259","121.2507"
"31.0664","120.9605"
"26.0837","119.2925"
"29.5144","117.889"
"29.5144","117.8889"
"29.5145","117.8889"
"29.5187","117.8922"
"29.5372","117.9057"
"26.0837","119.2924"
"29.5407","117.9316"
"29.5391","117.9289"
"29.5395","117.933"
"29.5167","117.8905"
"29.5156","117.9014"
"29.5328","117.9419"
"29.5332","117.9416"
"29.5327","117.9419"
"29.5272","117.9532"
"29.527","117.953"
"26.084","119.2924"
"29.5271","117.9542"
"29.5269","117.9564"
"29.5268","117.957"
"29.5268","117.9569"
"29.5268","117.9572"
"29.527","117.9681"
"29.523","117.9717"
"29.5228","117.9716"
"29.4353","118.0439"
"26.084","119.2923"
"29.6939","118.296"
"29.6961","118.2903"
"29.9242","118.2806"
"29.9239","118.2803"
"29.9243","118.2805"
"29.9257","118.28"
"26.084","119.2923"
"30.5277","114.2525"
"30.6054","114.2478"
